         16694 function calls (16570 primitive calls) in 2.238 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     12/1    0.000    0.000    2.238    2.238 {built-in method builtins.exec}
        1    0.000    0.000    2.238    2.238 browser.py:1(<module>)
     20/5    0.000    0.000    1.448    0.290 <frozen importlib._bootstrap>:1349(_find_and_load)
     20/5    0.000    0.000    1.448    0.290 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     20/5    0.000    0.000    1.445    0.289 <frozen importlib._bootstrap>:911(_load_unlocked)
     10/5    0.000    0.000    1.444    0.289 <frozen importlib._bootstrap_external>:989(exec_module)
    50/10    0.000    0.000    1.435    0.143 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       20    0.000    0.000    1.363    0.068 <frozen importlib._bootstrap>:806(module_from_spec)
       10    0.000    0.000    1.362    0.136 <frozen importlib._bootstrap_external>:1287(create_module)
       10    1.362    0.136    1.362    0.136 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.762    0.762 browser.py:217(load)
        1    0.000    0.000    0.762    0.762 browser.py:64(request)
        1    0.000    0.000    0.454    0.454 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.454    0.454 ssl.py:956(_create)
        1    0.000    0.000    0.417    0.417 browser.py:190(__init__)
        1    0.000    0.000    0.415    0.415 __init__.py:2325(__init__)
        1    0.414    0.414    0.414    0.414 {built-in method _tkinter.create}
        1    0.000    0.000    0.389    0.389 ssl.py:441(_encode_hostname)
      5/4    0.000    0.000    0.389    0.097 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.389    0.389 __init__.py:71(search_function)
        1    0.000    0.000    0.389    0.389 {built-in method builtins.__import__}
        1    0.000    0.000    0.386    0.386 idna.py:1(<module>)
        1    0.000    0.000    0.383    0.383 stringprep.py:1(<module>)
        1    0.001    0.001    0.382    0.382 socket.py:1(<module>)
        1    0.000    0.000    0.350    0.350 selectors.py:1(<module>)
        1    0.000    0.000    0.346    0.346 ssl.py:1(<module>)
        1    0.283    0.283    0.283    0.283 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.272    0.272 datetime.py:1(<module>)
        1    0.000    0.000    0.062    0.062 ssl.py:1313(do_handshake)
        1    0.062    0.062    0.062    0.062 {method 'do_handshake' of '_ssl._SSLSocket' objects}
  259/255    0.025    0.000    0.050    0.000 {built-in method __new__ of type object at 0x10732f8d0}
        1    0.002    0.002    0.048    0.048 __init__.py:1(<module>)
       69    0.002    0.000    0.029    0.000 {built-in method builtins.__build_class__}
       16    0.000    0.000    0.026    0.002 enum.py:515(__new__)
        2    0.000    0.000    0.025    0.013 enum.py:249(__set_name__)
        4    0.000    0.000    0.025    0.006 ssl.py:399(__new__)
        4    0.025    0.006    0.025    0.006 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.025    0.025 ssl.py:683(create_default_context)
        1    0.000    0.000    0.024    0.024 ssl.py:430(__new__)
       10    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
       20    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
       20    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1517(find_spec)
       20    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1488(_get_spec)
       10    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
       66    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
       10    0.009    0.001    0.009    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.009    0.009 base64.py:1(<module>)
       10    0.001    0.000    0.008    0.001 enum.py:906(_convert_)
       15    0.003    0.000    0.007    0.000 enum.py:1682(convert_class)
      101    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      105    0.007    0.000    0.007    0.000 {built-in method posix.stat}
       23    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       24    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       10    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       10    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
       84    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.004    0.004 struct.py:1(<module>)
       18    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
       10    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
       10    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
        1    0.002    0.002    0.002    0.002 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        3    0.000    0.000    0.002    0.001 __init__.py:226(compile)
        3    0.000    0.000    0.002    0.001 __init__.py:280(_compile)
        3    0.000    0.000    0.002    0.001 _compiler.py:740(compile)
        5    0.002    0.000    0.002    0.000 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.002    0.002 __init__.py:2754(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:2636(__init__)
        4    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        3    0.000    0.000    0.001    0.000 _compiler.py:573(_code)
      301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      234    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      260    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
     1862    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        6    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
        4    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        3    0.000    0.000    0.001    0.000 _parser.py:969(parse)
        3    0.000    0.000    0.001    0.000 _compiler.py:511(_compile_info)
      5/3    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
      5/3    0.000    0.000    0.001    0.000 _parser.py:512(_parse)
      247    0.000    0.000    0.001    0.000 socket.py:79(<lambda>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        8    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:529(load_default_certs)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.000    0.000 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
1308/1303    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      218    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.000    0.000 __init__.py:2393(readprofile)
      214    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
      5/3    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2357(_loadtk)
      613    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 socket.py:500(close)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      896    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      247    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      218    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      331    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      548    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      212    0.000    0.000    0.000    0.000 types.py:192(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      831    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      300    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      622    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1641(_fill_cache)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 __init__.py:2264(wm_protocol)
        1    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      4/3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.000    0.000 socket.py:496(_real_close)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        4    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x105dd0900}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
